testeimg1.jpg
4.328
4.309
4.307
4.375
4.362
4.381
4.341
4.400
4.345
4.330
testeimg2.jpg
1.051
1.084
1.053
1.038
1.077
1.044
1.052
1.064
1.076
1.065
testeimg3.jpg
21.877
21.836
22.000
21.881
21.622
21.766
21.939
21.975
21.758
21.995
testeimg4.jpg
2.887
2.889
2.847
2.763
2.875
2.792
2.817
2.744
2.808
2.809
testeimg5.jpg
0.881
0.887
0.884
0.914
0.897
0.926
0.885
0.906
0.880
0.868
testeimg6.jpg
1.668
1.664
1.651
1.665
1.684
1.682
1.738
1.628
1.652
1.763
testeimg7.jpg
1.196
1.199
1.197
1.209
1.197
1.206
1.194
1.192
1.203
1.193
testeimg8.jpg
0.941
0.959
0.950
0.939
0.937
1.015
0.936
0.939
0.961
0.936
testeimg9.jpg
1.795
1.852
1.796
1.837
1.797
1.856
1.811
1.803
1.797
1.917
testeimg10.jpg
5.500
5.489
5.490
5.592
5.529
5.508
5.495
5.498
5.612
5.570
testeimg11.jpg
0.794
0.790
0.792
0.795
0.789
0.793
0.787
0.790
0.794
0.787
testeimg12.jpg
1.803
1.799
1.790
1.788
1.810
1.798
1.798
1.824
1.873
1.795
testeimg13.jpg
0.798
0.796
0.793
0.799
0.791
0.823
0.793
0.794
0.797
0.795
testeimg14.jpg
1.812
1.816
1.935
1.958
1.976
1.999
1.890
1.881
1.861
1.935
testeimg15.jpg
1.895
1.856
1.849
1.849
1.828
1.833
1.816
1.839
1.822
1.837
testeimg16.jpg
1.777
1.769
1.754
1.743
1.755
1.751
1.791
1.789
1.786
1.772
testeimg17.jpg
=(7*60) + 13.861
=(7*60) + 14.175
=(7*60) + 17.081
=(7*60) + 26.016
=(7*60) + 11.938
=(7*60) + 25.661
=(7*60) + 27.701
=(7*60) + 13.262
=(7*60) + 14.477
=(7*60) + 20.320
