testeimg1.jpg
2.004
1.981
1.973
1.983
1.972
1.972
1.993
1.983
1.998
1.982
testeimg2.jpg
0.555
0.518
0.559
0.529
0.583
0.517
0.549
0.514
0.529
0.532
testeimg3.jpg
9.087
9.084
9.094
9.134
9.049
9.059
9.088
9.066
9.113
9.087
testeimg4.jpg
error
error
error
error
error
error
error
error
error
error
testeimg5.jpg
0.464
0.505
0.471
0.484
0.476
0.461
0.497
0.478
0.513
0.503
testeimg6.jpg
error
error
error
error
error
error
error
error
error
error
testeimg7.jpg
0.647
0.647
0.649
0.648
0.651
0.628
0.639
0.616
0.628
0.615
testeimg8.jpg
0.527
0.500
0.510
0.508
0.515
0.513
0.517
0.530
0.536
0.518
testeimg9.jpg
0.916
0.924
0.905
0.899
0.914
0.909
0.931
0.917
0.892
0.918
testeimg10.jpg
2.577
2.557
2.569
2.619
2.595
2.577
2.576
2.611
2.599
2.609
testeimg11.jpg
0.475
0.459
0.475
0.435
0.440
0.467
0.430
0.431
0.443
0.443
testeimg12.jpg
0.896
0.902
0.890
0.931
0.911
0.910
0.899
0.899
0.924
0.910
testeimg13.jpg
0.460
0.480
0.437
0.477
0.437
0.448
0.470
0.459
0.459
0.467
testeimg14.jpg
0.893
0.920
0.911
0.905
0.922
0.927
0.909
0.927
0.929
0.898
testeimg15.jpg
0.934
0.902
0.894
0.916
0.917
0.875
0.897
0.886
0.892
0.921
testeimg16.jpg
0.899
0.877
0.896
0.876
0.872
0.888
0.903
0.857
0.892
0.873
testeimg17.jpg
(2*60) + 55.906
(2*60) + 55.915
(2*60) + 56.139
(2*60) + 55.653
(2*60) + 55.691
(2*60) + 55.677
(2*60) + 56.352
(2*60) + 55.742
(2*60) + 55.657
(2*60) + 55.843
